Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.jpowsour.2023.232930,2023,NaMn0.45Fe0.3Cu0.25O2,NFMCu-0.2,800.0,15.0,Cycling performance,100.0,84.65,,,0.1,1.5,4.3,"{'Na': '1', 'Mn': '0.45', 'Fe': '0.3', 'Cu': '0.25', 'O': '2'}"
10.1039/d2qi01018f,2022,P2-Na0.7Mn0.6Fe0.4O2,FM,900.0,12.0,Cycling performance,100.0,,40.9,,0.1,2.5,4.3,"{'Na': '0.7', 'Mn': '0.6', 'Fe': '0.4', 'O': '2'}"
10.1016/j.jpowsour.2023.233228,2023,P2-Na0.67Fe0.1Mn0.9O1.98,,1000.0,8.0,Cycling performance,1.0,200.0,,20.0,0.1,,,"{'Na': '0.67', 'Mn': '0.9', 'Fe': '0.1', 'O': '1.98'}"
10.1016/j.jre.2018.12.019,2019,Na0.67La0.01Ti0.2Mn0.44Co0.35O2,,950.0,12.0,Cycling performance,1.0,162.7,,,0.1,1.5,4.0,"{'Na': '0.67', 'La': '0.01', 'Ti': '0.2', 'Mn': '0.44', 'Co': '0.35', 'O': '2'}"
10.1016/j.cplett.2021.139050,2021,P2-Na0.59Ti0.1V0.05Mn0.85Co0.1O2,NCMTV,1000.0,12.0,Cycling performance,1.0,164.27,,,0.1,2.0,4.0,"{'Na': '0.59', 'Ti': '0.1', 'V': '0.05', 'Mn': '0.85', 'Co': '0.1', 'O': '2'}"
10.1016/j.cplett.2021.139050,2021,Na0.67CoO2,,1000.0,12.0,Cycling performance,1.0,145.9,,,0.1,2.0,4.0,"{'Na': '0.67', 'Co': '1', 'O': '2'}"
10.1016/j.jre.2018.12.019,2019,Na0.67La0.01Ti0.2Mn0.44Co0.35O2,,950.0,12.0,Cycling performance,100.0,98.6,,,0.1,1.5,4.0,"{'Na': '0.67', 'La': '0.01', 'Ti': '0.2', 'Mn': '0.44', 'Co': '0.35', 'O': '2'}"
10.1016/j.jre.2018.12.019,2019,Na0.67La0.01Ti0.2Mn0.44Co0.35O2,,950.0,12.0,Cycling performance,100.0,,60.6,,0.1,1.5,4.0,"{'Na': '0.67', 'La': '0.01', 'Ti': '0.2', 'Mn': '0.44', 'Co': '0.35', 'O': '2'}"
10.1016/j.cplett.2021.139050,2021,P2-Na0.59Ti0.1V0.05Mn0.85Co0.1O2,NCMTV,1000.0,12.0,Cycling performance,50.0,127.73,,,0.1,2.0,4.0,"{'Na': '0.59', 'Ti': '0.1', 'V': '0.05', 'Mn': '0.85', 'Co': '0.1', 'O': '2'}"
10.1016/j.cplett.2021.139050,2021,P2-Na0.59Ti0.1V0.05Mn0.85Co0.1O2,NCMTV,1000.0,12.0,Cycling performance,50.0,,93.34,,0.1,2.0,4.0,"{'Na': '0.59', 'Ti': '0.1', 'V': '0.05', 'Mn': '0.85', 'Co': '0.1', 'O': '2'}"
10.1016/j.jpowsour.2023.232930,2023,NaMn0.45Fe0.3Cu0.25O2,NFMCu-0.2,800.0,15.0,Rate performance,,105.6,,,0.1,2.1,4.3,"{'Na': '1', 'Mn': '0.45', 'Fe': '0.3', 'Cu': '0.25', 'O': '2'}"
